lng,lat
-46.648465,-23.535538
-43.208838,-22.911836
-43.935590,-19.914910
-43.93,-19.91
-47.93,-15.78
-38.50,-12.97
-38.54,-3.72
-34.88,-8.05
-51.21,-30.03
-49.26,-25.42
-48.55,-27.59
